Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
7753,True,1,0.9207755,False,0,False,0,True,1,0.76953125,False,0,False,1,0,False
7754,True,1,0.9495424,False,0,False,0,False,1,0,False,0,False,97,0,False
7755,True,1,0.99954695,False,0,False,0,False,1,0,False,0,False,1,0,False
7757,False,1,0,False,0,False,0,False,1,0,False,0,True,97,0.5231665110877779,False
7758,False,1,0,False,0,False,0,False,1,0,False,0,True,97,0.5485302671893538,False
7759,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7762,True,1,0.96594197,False,0,False,0,False,1,0,False,0,False,97,0,False
7764,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7765,True,1,0.9654627,False,0,False,0,True,1,0.96484375,False,0,False,1,0,False
7766,True,1,0.990529,False,0,False,0,False,1,0,False,0,False,1,0,False
7767,False,1,0,False,0,False,0,True,1,0.703125,False,0,False,1,0,False
7768,True,1,0.9991314,False,0,False,0,True,2,0.734375,False,0,False,1,0,False
7769,True,1,0.9892436,False,0,False,0,False,1,0,False,0,False,1,0,False
7770,True,1,0.9092723,False,0,False,0,True,3,0.86328125,False,0,False,1,0,False
7771,True,1,0.9953152,False,0,False,0,True,1,0.88671875,False,0,False,18,0,False
7772,False,1,0,False,0,False,0,True,1,0.96484375,True,0.4605087364685939,True,48,0.4605087364685939,False
7773,True,7,0.70645595,False,0,False,0,False,1,0,False,0,False,1,0,False
7774,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7775,True,3,0.86441714,False,0,False,0,False,1,0,False,0,False,1,0,False
7776,True,1,0.9997923,True,0.53125,True,0.5024559021930078,True,1,0.921875,True,0.3856720103810317,True,10,0.3856720103810317,False
7777,True,1,0.98933196,False,0,False,0,True,1,0.9921875,False,0,False,1,0,False
7781,True,1,0.9992422,False,0,False,0,True,1,0.984375,True,0.4008775172330334,True,97,0.4008775172330334,True
7782,True,1,0.772357,False,0,False,0,False,1,0,False,0,False,1,0,False
7783,True,1,0.9354614,False,0,False,0,True,1,0.96484375,False,0,False,97,0,False
7785,True,1,0.96260667,True,0.90234375,True,0.4303786114407879,True,1,0.97265625,True,0.45192564311003297,True,9,0.45192564311003297,True
7786,True,1,0.82060015,True,0.4921875,False,0,True,1,0.875,False,0,False,97,0,False
7788,True,17,0.88220114,False,0,False,0,False,1,0,False,0,False,1,0,False
7789,True,2,0.7556096,False,0,False,0,False,1,0,False,0,False,1,0,False
7790,True,1,0.99967337,True,0.99609375,True,0.6997136875156312,True,1,0.99609375,True,0.6606036201456482,True,1,0.6606036201456482,True
7791,True,4,0.74296093,True,0.609375,False,0,True,1,0.97265625,False,0,False,97,0,False
7793,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7795,True,1,0.99939525,False,0,False,0,True,1,0.99609375,True,0.5625930609702271,True,33,0.5625930609702271,True
7796,True,1,0.99288285,False,0,False,0,False,1,0,False,0,False,1,0,False
7799,True,1,0.89157194,True,0.96875,True,0.6181980058578468,True,1,0.99609375,True,0.6549128262463738,True,66,0.6549128262463738,True
7801,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7803,True,1,0.99871683,False,0,False,0,False,1,0,False,0,False,1,0,False
7804,True,1,0.99999857,True,0.68359375,False,0,True,1,0.83203125,False,0,False,97,0,False
7807,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7808,True,1,0.8790938,False,0,False,0,True,2,0.875,False,0,False,1,0,False
7809,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7810,False,1,0,False,0,False,0,True,1,0.99609375,True,0.5333292669763474,True,97,0.5333292669763474,False
7811,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
